id,job_title,skills_extracted
1,sr data scientist,"[""analytical skills"", ""quantify"", ""multivariate regressions"", ""investigates"", ""business processes"", ""predict"", ""forecast"", ""enrollment"", ""statistical models"", ""regression trees"", ""finance"", ""performance metrics"", ""healthcare"", ""data resources"", ""data"", ""statistical techniques"", ""predictions"", ""acquisition"", ""claims"", ""clustering methods"", ""analytic methods"", ""analyze"", ""operational"", ""communicate"", ""clinical"", ""linear models"", ""decision-making"", ""business"", ""hierarchical""]"
2,data scientist,"[""problem"", ""experimentation"", ""data-focused"", ""exploit"", ""innovative"", ""researching"", ""application development"", ""data holdings"", ""analytical thinking"", ""data sets"", ""troubleshooting"", ""technical"", ""reporting"", ""designing"", ""implementing"", ""infrastructure"", ""analytical"", ""data science"", ""analyze"", ""big data"", ""advanced analytics"", ""data analysis""]"
3,data scientist,"[""biotech"", ""strategy"", ""economics consulting"", ""health care analytics"", ""finance"", ""economics"", ""research"", ""life sciences"", ""analytical services"", ""pharma"", ""energy""]"
4,data scientist,"[""time series analysis"", ""deep learning"", ""developing"", ""investigates"", ""post manufacturing data"", ""applied research"", ""manufacturing data"", ""technologies"", ""time series data"", ""statistical"", ""data"", ""production logs"", ""machine learning"", ""manufacturing"", ""data science"", ""semiconductor manufacturing"", ""information processing"", ""software"", ""ai""]"
5,data scientist,"[""data asset"", ""technologies"", ""algorithms"", ""data"", ""data sciences"", ""market"", ""develop methodology"", ""support"", ""model building"", ""maintaining"", ""mar"", ""scale"", ""insights"", ""research"", ""learning"", ""machine learning infrastructure"", ""measurement methodology""]"
6,data scientist,"[""data engineering"", ""data science"", ""technology"", ""marketing"", ""strategy"", ""big-data"", ""sales"", ""innovative"", ""engineering"", ""bikes"", ""software development""]"
7,data scientist / machine learning expert,"[""pharmaceutical"", ""data"", ""global"", ""collaborative"", ""insights"", ""research"", ""medicines"", ""machine learning""]"
8,data scientist,"[""product management"", ""performance"", ""sql"", ""computer science"", ""monitor"", ""robot software"", ""statistics"", ""designing"", ""robots"", ""software performance"", ""python"", ""manage"", ""experimental design"", ""mathematics"", ""experiments"", ""kpis"", ""testing"", ""metrics"", ""physic"", ""management system"", ""hypothesis"", ""software""]"
9,staff data scientist - analytics,"[""data engineering"", ""data science"", ""data"", ""customer experiences"", ""marketing"", ""product management"", ""data analytics"", ""generate hypotheses"", ""business"", ""surface insights""]"
10,data scientist,"[""qabot"", ""data science"", ""implementing"", ""customer experiences"", ""real time messaging"", ""artificial intelligence"", ""write"", ""predictive analytics"", ""natural language processing"", ""collaborative"", ""real-time"", ""mathematical"", ""designing"", ""softwares"", ""hipercobot"", ""nlp"", ""cloud"", ""machine learning""]"
11,data scientist,"[""video"", ""deep"", ""lightgbm"", ""open source"", ""customer mission"", ""implement"", ""keras"", ""aws"", ""deploy"", ""xgboost"", ""develop"", ""nlp"", ""prototype"", ""tensorflow"", ""machine learning""]"
12,data scientist,"[""innovation"", ""refactoring"", ""applications"", ""operationalize"", ""data"", ""products"", ""data streams"", ""businesses"", ""creativity"", ""reimagining"", ""innovative"", ""labs""]"
13,"data scientist - statistics, early career","[""advanced"", ""applied statistics"", ""computational modeling"", ""science"", ""scientific"", ""mixed linear models"", ""analytic"", ""technical"", ""research"", ""nonparametric models"", ""computer simulations"", ""develop"", ""experimental design"", ""statistical"", ""statistical modeling"", ""data analytics"", ""machine learning""]"
14,data modeler,"[""developing"", ""development"", ""data governance"", ""data models"", ""handling"", ""data workflow logical models"", ""data lineage"", ""taxonomy,"", ""data architecture"", ""data definitions"", ""data audits"", ""physical source"", ""data cleansing services"", ""design"", ""data integration"", ""data"", ""analytic solutions"", ""data audit"", ""analyze"", ""meta-data,"", ""data profiling"", ""data metrics,"", ""profile"", ""business"", ""data design"", ""data modeling"", ""data management""]"
15,data scientist,"[""employment"", ""international development."", ""insights"", ""analysis"", ""methods"", ""disability"", ""overseeing"", ""developing documentation"", ""health"", ""data"", ""mentoring"", ""guide"", ""mathematica"", ""family support"", ""policy"", ""monitoring data quality"", ""nutrition"", ""data processing"", ""education""]"
16,experienced data scientist,"[""data science"", ""analyze"", ""statistical"", ""support"", ""analytics"", ""science"", ""integrity"", ""analyses"", ""safety"", ""anomaly detection systems"", ""technical"", ""analysis"", ""simulation data"", ""aviation safety"", ""presentations"", ""machine learning""]"
17,data scientist - contract,"[""management"", ""production system"", ""python"", ""agile"", ""internet commerce""]"
18,data scientist,"[""sustainable development"", ""data science"", ""develop"", ""support"", ""digital transformation"", ""industry knowledge"", ""leather"", ""water"", ""paper"", ""data strategy"", ""pulp""]"
19,data analyst ii,"[""management"", ""data"", ""attention to detail"", ""maintenance"", ""images"", ""technical specifications"", ""business"", ""managing"", ""data entry"", ""automated data feeds"", ""integrated enterprise system""]"
20,medical lab scientist,"[""medical laboratory science"", ""data"", ""quality control"", ""method principles"", ""procedures"", ""organizing"", ""certification"", ""medical technology"", ""clinical laboratory science"", ""preventive maintenance""]"
21,data scientist,"[""psychometrics"", ""data"", ""exploratory data analysis"", ""software engineering"", ""probabilistic programming"", ""dropbox"", ""technical"", ""triplebyte"", ""dataset acquisition"", ""measuring"", ""scale"", ""statistical modeling""]"
22,data scientist/machine learning,"[""contextualization"", ""healthcare"", ""brand engagement"", ""data"", ""science"", ""pulsepoint"", ""machine learning"", ""targeting"", ""distribution"", ""targeting mechanisms"", ""programmatic"", ""programmatic advertising"", ""advertising"", ""optimize"", ""actionable insights"", ""optimization""]"
23,human factors scientist,"[""occupational work"", ""automobiles"", ""human factors"", ""human performance"", ""engineering"", ""consumer products"", ""scientific consulting"", ""analyzing""]"
24,business intelligence analyst i- data insights,"[""business intelligence"", ""reliable"", ""integration"", ""business decisions"", ""data"", ""train"", ""address"", ""performance"", ""customer service"", ""delivery"", ""business"", ""analysis"", ""reporting"", ""analytical"", ""identify"", ""data analysis""]"
25,data scientist,"[""data science"", ""data-savvy"", ""artificially intelligent"", ""technology"", ""management"", ""artificial intelligence"", ""it"", ""predictive"", ""proprietary software""]"
26,data scientist,"[""data science"", ""solution design"", ""business systems"", ""machine learning"", ""automating"", ""manage"", ""data prep"", ""collaborate"", ""ai"", ""designing"", ""analyzing""]"
27,data scientist - risk,"[""driven"", ""fraud detection"", ""technology"", ""financing"", ""commercial credit analysis""]"
28,data scientist-human resources,"[""interpersonal"", ""team building"", ""data mining"", ""data aggregation"", ""develop"", ""analysis"", ""develops"", ""information tools"", ""communication"", ""mathematical"", ""organizational"", ""reporting"", ""statistical"", ""presentation"", ""data"", ""human resources"", ""dashboards"", ""statistical analysis"", ""queries"", ""algorithms"", ""communicate"", ""business"", ""collaborate"", ""business performance""]"
29,data scientist,"[""information technology"", ""support services"", ""data science"", ""ic"", ""develop"", ""data"", ""predictive analytics"", ""innovative"", ""intelligence"", ""strategic"", ""business"", ""cybersecurity"", ""mission"", ""survey data"", ""ic data collection""]"
30,data scientist,"[""reinforcement"", ""rl"", ""data science"", ""deliver"", ""innovation"", ""developing"", ""learning"", ""data sets"", ""responsibility"", ""collaborate"", ""product life"", ""statistical analysis""]"
31,data scientist,"[""biotech"", ""strategy"", ""economics consulting"", ""health care analytics"", ""finance"", ""economics"", ""research"", ""life sciences"", ""analytical services"", ""pharma"", ""energy""]"
32,data scientist / machine learning expert,"[""pharmaceutical"", ""data"", ""global"", ""collaborative"", ""insights"", ""research"", ""medicines"", ""machine learning""]"
33,data scientist,"[""medications"", ""healthcare"", ""data science"", ""technology"", ""procedures"", ""analytics"", ""services"", ""products"", ""it"", ""decision-making"", ""health""]"
34,senior research statistician- data scientist,"[""train"", ""development"", ""consult"", ""statistical knowledge"", ""database"", ""data mining"", ""business outcomes"", ""develop"", ""monitor"", ""support"", ""statistical models"", ""analyses"", ""pc tools"", ""evaluate"", ""statistics"", ""monitor reports"", ""statistical"", ""optimization"", ""data"", ""analytical models"", ""implement"", ""research"", ""acquire"", ""predictive modeling"", ""data mining tools"", ""data sources"", ""explore"", ""interpret"", ""business""]"
35,data engineer,"[""fly"", ""chef"", ""learn"", ""professional"", ""game"", ""it automation"", ""collaborative"", ""bank"", ""devops"", ""deploy"", ""chat"", ""present"", ""shop"", ""code"", ""software"", ""inclusive"", ""cloud"", ""web applications""]"
36,associate data scientist,"[""leading"", ""data science"", ""document"", ""development"", ""support"", ""data services"", ""innovative"", ""business"", ""analytical"", ""machine learning""]"
37,business intelligence analyst,"[""communication"", ""organization"", ""review"", ""data"", ""services"", ""quality assurance"", ""attention to detail"", ""problem solving"", ""troubleshooting"", ""sharing"", ""reviewing"", ""reporting"", ""analyzing""]"
38,data scientist,"[""mission""]"
39,data scientist,"[""mathematics"", ""data science"", ""models"", ""algorithms"", ""process optimization"", ""data sets"", ""comp"", ""data mining"", ""intelligence"", ""simulations"", ""statistics"", ""education"", ""data tools"", ""data analysis"", ""analyzing""]"
40,senior analyst/data scientist,"[""innovating"", ""printed car guides"", ""internet"", ""research"", ""car"", ""shopping"", ""creative"", ""cars"", ""leadership""]"
41,data analyst,"[""sql"", ""investment"", ""portfolio services"", ""data accuracy"", ""support"", ""analytical insight"", ""creation"", ""data platform"", ""applications"", ""business development"", ""data"", ""maintenance"", ""python"", ""excel"", ""analyze"", ""business function"", ""centralized calculation engines"", ""collate"", ""data analysis"", ""r""]"
42,machine learning engineer,"[""real time scoring"", ""cloud computing"", ""ai"", ""analytics"", ""java"", ""machine learning"", ""predictive models"", ""manage"", ""business"", ""software development"", ""scalable"", ""analytics application"", ""digital""]"
43,data analyst i,"[""predict"", ""data"", ""support"", ""documenting data"", ""exploratory data analysis"", ""cleaning"", ""statistical models"", ""sql"", ""data sets"", ""data collection"", ""algorithms"", ""access"", ""business strategies"", ""business"", ""data visualization"", ""implementation"", ""internal""]"
44,scientist - molecular biology,"[""development"", ""screens"", ""receptors"", ""develop"", ""automation"", ""application"", ""immunology"", ""support"", ""genome engineering"", ""pharmacology"", ""optimization"", ""design"", ""scientific"", ""computational biology"", ""libraries"", ""synthetic circuits"", ""protein chemistry"", ""encoding"", ""affinity reagents"", ""molecular biology"", ""software""]"
45,data scientist,"[""retail"", ""experimentation"", ""analyze"", ""data science"", ""promotion strategy"", ""data"", ""pricing"", ""implement"", ""insights"", ""research"", ""real-time data"", ""software"", ""develop"", ""statistical"", ""ai"", ""consumer goods"", ""production code"", ""machine learning""]"
46,"computational scientist, machine learning","[""deep learning"", ""artificial intelligence"", ""scientific programming"", ""ai models"", ""ml"", ""design"", ""applications"", ""sequence analysis"", ""prediction"", ""scientific"", ""computational biology"", ""computational"", ""biology"", ""biophysical"", ""machine learning"", ""bioinformatics"", ""protein structure modeling"", ""biotherapeutics"", ""ai"", ""collaborate""]"
47,senior data scientist,"[""exploratory analysis"", ""data science"", ""analyze"", ""models"", ""data"", ""algorithms"", ""shipping"", ""building models"", ""modeling"", ""data sets"", ""research"", ""statistics"", ""deploying"", ""data mining"", ""training"", ""machine learning""]"
48,data scientist,"[""invention services"", ""r & d"", ""marketing"", ""computational facilities"", ""scientific"", ""machining"", ""business"", ""cooking"", ""modernist cuisine books"", ""creative"", ""analytical"", ""consulting""]"
49,data scientist,"[""data modelling"", ""social"", ""data"", ""analytics"", ""business process optimisation"", ""data visualisation"", ""policy"", ""data sets"", ""visualisations"", ""economic"", ""business acumen"", ""tech"", ""business"", ""ops"", ""data manipulation"", ""data analytics""]"
50,data scientist,"[""quick base"", ""make decisions"", ""support""]"
51,data analyst,"[""social"", ""technology"", ""products"", ""giving"", ""shop"", ""shopping"", ""mission""]"
52,data scientist,"[""data engineering"", ""deep learning"", ""presentation"", ""inspire"", ""innovation-driven"", ""data wrangling"", ""machine learning""]"
53,data scientist,"[""data security"", ""data"", ""support"", ""social"", ""network"", ""netskope"", ""collaboration"", ""teamwork"", ""security"", ""cloud"", ""partnerships""]"
54,jr. data engineer,"[""information technology"", ""education"", ""training"", ""small business""]"
55,e-commerce data analyst,"[""oure- commerce"", ""organize"", ""digital solutions"", ""practices"", ""database"", ""innovate"", ""architecting"", ""serve"", ""data visualizations"", ""strategic insights"", ""datasets"", ""data analyst"", ""support"", ""collect"", ""implementing"", ""data"", ""coding"", ""dashboards"", ""agile"", ""digital"", ""analyze"", ""analytics"", ""collaborative"", ""collaborate""]"
56,data analytics engineer,"[""operational"", ""data"", ""financial"", ""insights"", ""computer science"", ""statistics"", ""training"", ""education"", ""applied mathematics"", ""leadership""]"
57,senior data scientist,"[""platform development"", ""analyze"", ""data"", ""principles"", ""workflow"", ""breeding"", ""product development"", ""genome editing"", ""seed development"", ""vegetables"", ""fruits"", ""trait"", ""machine learning""]"
58,product data scientist - ads data science,"[""user experience"", ""ship"", ""data science."", ""impact"", ""operation points"", ""analysis"", ""business"", ""advertising"", ""optimize""]"
59,data scientist,"[""software platform"", ""commerce"", ""postmates"", ""technical challenge"", ""delivery infrastructure"", ""engineering"", ""app""]"
60,data scientist - intermediate,"[""development"", ""ingesting"", ""exploratory"", ""predictive models"", ""code"", ""support"", ""datasets"", ""statistical models"", ""analyses"", ""statistics"", ""data analyses"", ""modeling"", ""python"", ""research"", ""code reviews"", ""machine learning"", ""analyze"", ""ingest datasets"", ""judge"", ""data visualization"", ""soy models"", ""applied mathematics""]"
61,data analyst,"[""analytical skills"", ""analyze"", ""review"", ""interpret"", ""creative thinking""]"
62,machine learning engineer,"[""deep learning"", ""develop"", ""develops"", ""machine learning algorithms"", ""object detection"", ""software engineering"", ""application"", ""computer vision"", ""segment"", ""classify"", ""vision-aided"", ""3d"", ""recognition"", ""implement"", ""apply"", ""localization"", ""machine learning"", ""scene"", ""algorithmic research"", ""detect"", ""tracking"", ""biometrics"", ""imaging modalities"", ""detection""]"
63,data scientist,"[""product management"", ""performance"", ""sql"", ""computer science"", ""monitor"", ""robot software"", ""statistics"", ""designing"", ""robots"", ""software performance"", ""python"", ""manage"", ""experimental design"", ""mathematics"", ""experiments"", ""kpis"", ""testing"", ""metrics"", ""physic"", ""management system"", ""hypothesis"", ""software""]"
64,data scientist,"[""data engineering"", ""data science"", ""technology"", ""marketing"", ""strategy"", ""big-data"", ""sales"", ""innovative"", ""engineering"", ""bikes"", ""software development""]"
65,global data analyst,"[""entrepreneurial"", ""innovative"", ""education""]"
66,data engineer,"[""traders"", ""develop"", ""data surveillance"", ""scientific programming"", ""statistical models"", ""automated data mining"", ""technical"", ""it"", ""databases"", ""data"", ""relational database structures"", ""data loading"", ""research"", ""valuation"", ""data cleaning"", ""communicate"", ""data integrity"", ""business"", ""data visualization"", ""collaborate"", ""speed"", ""data analysis""]"
67,data scientist,"[""design"", ""data"", ""business model innovation"", ""writing"", ""quantitative"", ""implement"", ""editing"", ""statistical methods"", ""conversion"", ""solve problems"", ""research"", ""statistics"", ""you are"", ""communicator"", ""analytical"", ""statistical analysis"", ""vi"", ""machine learning""]"
68,data scientist,"[""communication"", ""data"", ""marketing"", ""digital properties"", ""strategy"", ""data visualizations"", ""listen"", ""learn"", ""analyses"", ""interactive"", ""insights"", ""communications"", ""digital marketing"", ""present"", ""business"", ""web analytics"", ""building dashboards"", ""designing""]"
69,data & machine learning scientist,"[""deep learning"", ""technology"", ""insights"", ""analysis"", ""prototype"", ""datasets"", ""analyses"", ""biomedical"", ""integrate"", ""design"", ""data"", ""research"", ""biosignal"", ""machine learning"", ""precision medicine"", ""data science"", ""analyze"", ""molecular"", ""ai"", ""actionable insights""]"
70,data scientist - machine learning,"[""digital healthcare"", ""deep learning"", ""genomics-based information"", ""development"", ""data"", ""probabilistic"", ""python"", ""pytorch"", ""testing services"", ""programming languages"", ""discovery"", ""application development"", ""implementation"", ""tensorflow"", ""r""]"
71,data engineer (remote),"[""technology"", ""data"", ""support"", ""marketing"", ""services"", ""content production"", ""insights"", ""content marketing"", ""scale"", ""data pipelines""]"
72,"data scientist, applied machine learning - bay area","[""technology"", ""analysis"", ""prototype"", ""datasets"", ""design"", ""data"", ""imaging data"", ""research"", ""analytical"", ""precision medicine"", ""analyze"", ""science"", ""processing"", ""engineering"", ""data visualization"", ""molecular"", ""ai"", ""collaborate"", ""actionable insights""]"
73,principal data scientist,"[""investment"", ""design"", ""testing"", ""expertise"", ""technology"", ""development"", ""maintain"", ""build"", ""services"", ""data"", ""applications"", ""products"", ""deploy"", ""security"", ""cloud""]"
74,business data analyst,"[""support"", ""application"", ""services"", ""equipment"", ""insights"", ""customer performance""]"
75,purification scientist,"[""operate"", ""akta"", ""pilot"", ""detail-oriented"", ""akta pure"", ""program"", ""motivated"", ""troubleshoot"", ""inline buffer dilution skids"", ""enzymatic"", ""management"", ""in-process analytics"", ""scientific"", ""commercial manufacturing"", ""problem solving"", ""protein manufacturing"", ""analyze"", ""collaborative"", ""purification equipment"", ""creative""]"
76,data analyst,"[""analyzes"", ""querying"", ""data models"", ""analysis"", ""system databases"", ""strategic"", ""innovation"", ""datasets"", ""data exploration"", ""data intelligence"", ""data quality"", ""data"", ""evangelize"", ""mining"", ""data discovery"", ""data manipulation"", ""wrangling"", ""enterprise data warehouse"", ""business"", ""actionable intelligence"", ""system data""]"
77,"data engineer, enterprise analytics","[""tools"", ""moving data"", ""integration"", ""storing"", ""data acquisition strategies"", ""support"", ""data architecture"", ""financial control"", ""conversions"", ""data acquisition strategy"", ""processing"", ""business"", ""processes"", ""data migrations"", ""technical enablement"", ""purging"", ""business processes"", ""scripting""]"
78,data scientist,"[""driven algorithms"", ""inspire"", ""insight"", ""proposal"", ""home"", ""strategic"", ""inform"", ""internal""]"
79,data scientist,"[""insurance"", ""data"", ""support"", ""datasets"", ""communicate"", ""actuarial"", ""modeling"", ""property"", ""mathematical techniques"", ""modelling"", ""research"", ""deploying"", ""business"", ""statistical"", ""data modeling"", ""predictive modeling""]"
80,data scientist 3 (718),"[""synthetic biology"", ""computing"", ""industrial scale fermentation"", ""sugars"", ""research"", ""building"", ""living factories"", ""statistics"", ""curious"", ""genetic engineering"", ""biology"", ""designing"", ""life sciences"", ""engineering"", ""self-motivated""]"
81,"real world science, data scientist","[""entrepreneurial"", ""thinking big"", ""strategy"", ""science"", ""life"", ""medicines"", ""data strategy"", ""real world evidence""]"
82,data scientist,"[""analytic pipelines"", ""data science"", ""development"", ""analytics"", ""analytic processing"", ""data sources"", ""business"", ""pattern recognition""]"
83,data engineer,"[""healthcare"", ""politics"", ""management"", ""technologies"", ""productive"", ""candy"", ""beer"", ""chips"", ""bench"", ""marketable"", ""soda"", ""macbook pro\u2019"", ""software"", ""code"", ""consulting""]"
84,data scientist - image and video analytics,"[""business intelligence"", ""technology"", ""data"", ""analytics"", ""analytical techniques"", ""dat"", ""communication records"", ""data storage""]"
85,data scientist,"[""creating"", ""validating"", ""analyze"", ""data"", ""maintaining"", ""product"", ""statistical models"", ""modeling"", ""business acumen"", ""insights"", ""business"", ""strategic"", ""features""]"
86,"data science manager, payment acceptance - usa","[""measurement"", ""experimentation"", ""metrics"", ""inspire"", ""design"", ""analyze"", ""funnel"", ""financial"", ""measure"", ""optimizing"", ""optimization""]"
87,data analyst,"[""healthcare"", ""analyzing data"", ""applications"", ""data"", ""data sets"", ""transform"", ""load operations"", ""business"", ""data audits"", ""extract"", ""data analytics"", ""leadership""]"
88,data scientist / applied mathematician,[]
89,machine learning engineer,[]
90,data scientist,[]
91,patient safety- associate data scientist,[]
92,machine learning engineer,[]
93,senior data scientist,[]
94,(sr.) data scientist -,[]
95,data scientist,[]
96,staff data scientist - analytics,[]
97,data analytics engineer,[]
98,"data scientist, kinship - nyc/portland",[]
99,senior data scientist,[]
100,applied technology researcher / data scientist,[]
